design_id,emotion,buyer_identity,design_style,composition,color_count,text_present,source
1000,proud,GUITARIST,retro,full bleed,2,True,generation_birth
1001,funny,metalhead,watercolor,full bleed,5,True,generation_birth
1002,rebellious,Producer,watercolor,centered stack,6,False,generation_birth
1003,nostalgic,producer,retro,scattered,4,True,generation_birth
1004,Chill,saxophonist,LINE ART,scattered,5,True,generation_birth
1005,proud,drummer,vintage,full bleed,3,True,generation_birth
1006,CHILL,metalhead,bold graphic,centered stack,3,True,generation_birth
1007,REBELLIOUS,guitarist,Watercolor,centered stack,5,True,generation_birth
1008,proud,producer,retro,centered stack,3,True,generation_birth
1009,REBELLIOUS,Classical Musician,bold graphic,badge,3,False,generation_birth
1010,nostalgic,country fan,bold_graphic,centered stack,1,True,generation_birth
1011,nostalgic,producer,VINTAGE,centered stack,2,True,generation_birth
1012,nostalgic,vinyl_collector,watercolor,centered stack,2,True,generation_birth
1013,Chill,PRODUCER,vintage,centered stack,2,True,generation_birth
1014,PROUD,Classical Musician,bold graphic,scattered,5,True,generation_birth
1015,chill,producer,watercolor,centered stack,3,True,generation_birth
1016,chill,vinyl collector,bold graphic,scattered,2,True,generation_birth
1017,proud,metalhead,vintage,badge,3,True,generation_birth
1018,rebellious,metalhead,watercolor,badge,5,False,generation_birth
1019,CHILL,Classical Musician,WATERCOLOR,scattered,3,True,generation_birth
1020,PROUD,Saxophonist,WATERCOLOR,badge,2,True,generation_birth
1021,REBELLIOUS,vinyl_collector,distressed,badge,4,True,generation_birth
1022,nostalgic,metalhead,line art,full bleed,4,True,generation_birth
1023,nostalgic,classical_musician,watercolor,full bleed,2,True,generation_birth
1024,proud,guitarist,watercolor,centered stack,5,True,generation_birth
1025,REBELLIOUS,COUNTRY FAN,LINE ART,centered stack,2,False,generation_birth
1026,proud,METALHEAD,VINTAGE,badge,3,False,generation_birth
1027,nostalgic,country fan,distressed,full bleed,2,True,generation_birth
1028,rebellious,drummer,line art,scattered,5,False,generation_birth
1029,Rebellious,vinyl collector,distressed,badge,4,True,generation_birth
1030,nostalgic,guitarist,watercolor,scattered,3,True,generation_birth
1031,Nostalgic,METALHEAD,bold graphic,centered stack,6,False,generation_birth
1032,funny,guitarist,bold_graphic,full bleed,5,False,generation_birth
1033,CHILL,drummer,vintage,scattered,3,False,generation_birth
1034,CHILL,saxophonist,distressed,scattered,6,False,generation_birth
1035,rebellious,drummer,vintage,centered stack,6,False,generation_birth
1036,chill,producer,distressed,centered stack,6,True,generation_birth
1037,funny,METALHEAD,Bold Graphic,full bleed,2,False,generation_birth
1038,proud,saxophonist,vintage,badge,5,False,generation_birth
1039,proud,SAXOPHONIST,Distressed,badge,5,True,generation_birth
1040,rebellious,CLASSICAL MUSICIAN,BOLD GRAPHIC,badge,1,True,generation_birth
1041,REBELLIOUS,country fan,distressed,full bleed,2,True,generation_birth
1042,chill,country fan,watercolor,centered stack,2,True,generation_birth
1043,REBELLIOUS,producer,vintage,badge,4,True,generation_birth
1044,Funny,guitarist,retro,centered stack,5,True,generation_birth
1045,funny,country fan,Line Art,badge,3,False,generation_birth
1046,chill,guitarist,Line Art,full bleed,3,True,generation_birth
1047,proud,COUNTRY FAN,line art,scattered,4,True,generation_birth
1048,nostalgic,GUITARIST,Distressed,scattered,3,True,generation_birth
1049,funny,DRUMMER,retro,full bleed,3,True,generation_birth
1050,Proud,producer,bold_graphic,full bleed,2,True,generation_birth
1051,chill,producer,Line Art,full bleed,3,True,generation_birth
1052,nostalgic,classical musician,DISTRESSED,badge,3,True,generation_birth
1053,funny,metalhead,bold_graphic,full bleed,6,False,generation_birth
1054,proud,METALHEAD,vintage,centered stack,4,True,generation_birth
1055,nostalgic,DRUMMER,retro,centered stack,2,True,generation_birth
1056,funny,PRODUCER,VINTAGE,badge,3,True,generation_birth
1057,chill,producer,Watercolor,centered stack,3,False,generation_birth
1058,PROUD,country_fan,Retro,scattered,5,True,generation_birth
1059,proud,saxophonist,distressed,badge,5,True,generation_birth
1060,chill,producer,BOLD GRAPHIC,badge,2,True,generation_birth
1061,proud,GUITARIST,Line Art,centered stack,1,True,generation_birth
1062,REBELLIOUS,metalhead,vintage,scattered,4,True,generation_birth
1063,chill,guitarist,RETRO,badge,3,True,generation_birth
1064,proud,producer,RETRO,scattered,4,False,generation_birth
1065,nostalgic,saxophonist,watercolor,badge,6,False,generation_birth
1066,nostalgic,classical musician,LINE ART,centered stack,2,True,generation_birth
1067,PROUD,guitarist,RETRO,badge,6,True,generation_birth
1068,chill,vinyl collector,BOLD GRAPHIC,centered stack,5,True,generation_birth
1069,nostalgic,classical musician,bold_graphic,centered stack,4,True,generation_birth
1070,proud,producer,vintage,badge,4,True,generation_birth
1071,rebellious,metalhead,watercolor,badge,1,True,generation_birth
1072,nostalgic,PRODUCER,distressed,badge,3,False,generation_birth
1073,nostalgic,drummer,retro,scattered,6,False,generation_birth
1074,rebellious,classical musician,vintage,badge,3,True,generation_birth
1075,proud,drummer,watercolor,scattered,3,True,generation_birth
1076,funny,classical musician,Distressed,full bleed,3,True,generation_birth
1077,chill,classical_musician,LINE ART,centered stack,2,True,generation_birth
1078,chill,drummer,bold_graphic,scattered,2,False,generation_birth
1079,CHILL,guitarist,retro,scattered,6,True,generation_birth
1080,chill,country fan,watercolor,badge,2,True,generation_birth
1081,FUNNY,guitarist,Watercolor,badge,3,False,generation_birth
1082,nostalgic,Saxophonist,watercolor,badge,3,True,generation_birth
1083,funny,Saxophonist,Watercolor,badge,4,True,generation_birth
1084,proud,guitarist,watercolor,badge,6,False,generation_birth
1085,rebellious,saxophonist,VINTAGE,full bleed,2,True,generation_birth
1086,CHILL,drummer,RETRO,centered stack,5,True,generation_birth
1087,Rebellious,saxophonist,distressed,scattered,6,True,generation_birth
1088,nostalgic,saxophonist,vintage,badge,5,True,generation_birth
1089,Funny,drummer,watercolor,badge,3,True,generation_birth
1090,REBELLIOUS,PRODUCER,bold graphic,full bleed,3,True,generation_birth
1091,chill,Drummer,bold_graphic,badge,2,True,generation_birth
1092,Chill,classical musician,vintage,centered stack,5,True,generation_birth
1093,funny,metalhead,retro,scattered,3,True,generation_birth
