listing_id,source_platform,title,price,rank,scraped_at
L0,amazon,piano keys shirt 391,31.02,49,2026-05-15T00:12:00+00:00
L1,amazon,music notes shirt 712,26.47,1,2026-02-19T01:16:00+00:00
L2,etsy,piano keys shirt 612,15.24,33,2026-01-28T18:42:00+00:00
L3,etsy,music notes shirt 467,33.06,77,2026-03-04T15:38:00+00:00
L4,etsy,vinyl record shirt 412,25.99,39,2026-03-20T01:10:00+00:00
L5,amazon,cassette shirt 584,31.67,86,2026-04-15T12:01:00+00:00
L6,etsy,cassette shirt 988,26.44,72,2026/01/30 08:10
L7,amazon,cassette shirt 286,32.02,37,2026-01-16T16:24:00+00:00
L8,etsy,piano keys shirt 36,24.39,61,2026-05-25T22:46:00+00:00
L9,amazon,guitar shirt 374,30.92,25,2026-01-13T19:06:00+00:00
L10,amazon,amplifier shirt 915,31.13,63,2026-03-25T18:14:00+00:00
L11,amazon,amplifier shirt 643,25.51,96,2026-01-24T20:50:00+00:00
L12,etsy,microphone shirt 41,30.99,1,2026-03-08T23:50:00+00:00
L13,etsy,amplifier shirt 477,16.14,79,2026-03-06T14:24:00+00:00
L14,amazon,sheet music shirt 858,19.3,13,2026-02-17T08:45:00+00:00
L15,amazon,headphones shirt 454,32.96,27,2026-05-21T06:41:00+00:00
L16,amazon,amplifier shirt 615,30.62,79,2026-05-23T13:47:00+00:00
L17,etsy,cassette shirt 920,28.3,89,2026/01/04 06:02
L18,amazon,microphone shirt 640,23.18,50,2026-02-22T05:55:00+00:00
L19,amazon,piano keys shirt 184,27.17,47,2026-04-16T16:05:00+00:00
L20,etsy,piano keys shirt 164,19.66,3,2026-01-06T20:14:00+00:00
L21,etsy,guitar shirt 256,16.65,40,2026-05-24T21:34:00+00:00
L22,amazon,vinyl record shirt 443,19.17,39,2026-04-29T19:04:00+00:00
L23,amazon,guitar shirt 514,19.98,25,2026-04-27T00:41:00+00:00
L24,amazon,sheet music shirt 925,27.16,61,2026-04-28T05:08:00+00:00
L25,amazon,amplifier shirt 29,16.38,80,2026-04-21T07:52:00+00:00
L26,amazon,headphones shirt 328,25.07,60,2026-03-20T08:39:00+00:00
L27,etsy,microphone shirt 893,29.19,72,2026-02-06T12:30:00+00:00
L28,etsy,vinyl record shirt 665,21.28,52,2026-02-02T22:23:00+00:00
L29,amazon,music notes shirt 701,14.07,60,2026-03-23T02:56:00+00:00
L30,amazon,sheet music shirt 483,31.45,100,2026-01-06T13:59:00+00:00
L31,etsy,sheet music shirt 530,27.49,33,2026-04-07T03:20:00+00:00
L32,etsy,microphone shirt 256,23.51,42,2026-03-23T23:42:00+00:00
L33,etsy,piano keys shirt 652,27.55,48,2026-05-27T12:12:00+00:00
L34,etsy,vinyl record shirt 51,24.07,58,2026-04-20T20:20:00+00:00
L35,amazon,headphones shirt 698,21.74,59,2026/02/13 19:41
L36,etsy,music notes shirt 29,15.1,93,2026-03-06T10:35:00+00:00
L37,amazon,music notes shirt 516,31.91,28,2026-03-05T05:14:00+00:00
L38,amazon,sheet music shirt 219,28.93,70,2026-04-08T06:23:00+00:00
L39,amazon,music notes shirt 869,26.41,3,2026-01-23T11:30:00+00:00
L40,etsy,cassette shirt 9,17.76,94,2026-04-17T15:54:00+00:00
L41,etsy,cassette shirt 909,32.9,78,2026-05-18T08:48:00+00:00
L42,etsy,cassette shirt 453,32.37,85,2026-01-07T19:01:00+00:00
L43,amazon,amplifier shirt 878,33.62,59,2026/01/30 06:27
L44,etsy,sheet music shirt 104,32.15,61,2026-06-06T05:34:00+00:00
L45,amazon,cassette shirt 269,21.29,100,2026-01-28T13:03:00+00:00
L46,amazon,headphones shirt 601,27.57,18,2026-03-07T06:51:00+00:00
L47,amazon,microphone shirt 337,14.09,51,2026-03-07T22:52:00+00:00
L48,etsy,music notes shirt 975,29.77,46,2026-05-28T05:58:00+00:00
L49,amazon,guitar shirt 540,33.81,74,2026-04-06T06:21:00+00:00
L50,etsy,vinyl record shirt 421,16.34,55,2026-02-25T07:57:00+00:00
L51,etsy,cassette shirt 762,15.29,44,2026-02-10T11:02:00+00:00
L52,etsy,amplifier shirt 125,21.33,44,2026-04-25T10:15:00+00:00
L53,etsy,sheet music shirt 642,18.89,77,2026-05-15T12:55:00+00:00
L54,amazon,sheet music shirt 624,28.41,83,2026-01-25T01:06:00+00:00
L55,amazon,piano keys shirt 131,28.64,56,2026-06-02T07:20:00+00:00
L56,amazon,vinyl record shirt 399,17.41,6,2026-05-25T19:58:00+00:00
L57,amazon,amplifier shirt 656,28.41,53,2026-05-14T10:52:00+00:00
L58,etsy,microphone shirt 150,31.49,2,2026-01-07T08:11:00+00:00
L59,etsy,sheet music shirt 708,26.96,100,2026-03-01T11:21:00+00:00
L60,etsy,turntable shirt 795,26.44,68,2026-05-18T03:01:00+00:00
L61,etsy,headphones shirt 820,32.01,46,2026-03-13T01:41:00+00:00
L62,amazon,cassette shirt 253,14.93,5,2026-03-28T23:15:00+00:00
L63,etsy,music notes shirt 225,26.92,49,2026-02-15T01:43:00+00:00
L64,etsy,piano keys shirt 130,18.04,47,2026-05-20T18:26:00+00:00
L65,etsy,headphones shirt 477,28.07,16,2026-03-25T06:21:00+00:00
